choice_key	dilemma_key
FIRST	rom_subject_roman_profession_2_Lanista
SECOND	rom_subject_roman_profession_2_Lanista
THIRD	rom_subject_roman_profession_2_Lanista
FIRST	rom_subject_roman_profession_3_Gladiator
FOURTH	rom_subject_roman_profession_3_Gladiator
SECOND	rom_subject_roman_profession_3_Gladiator
THIRD	rom_subject_roman_profession_3_Gladiator
FIRST	rom_subject_roman_profession_4_Charioteer
SECOND	rom_subject_roman_profession_4_Charioteer
THIRD	rom_subject_roman_profession_4_Charioteer
FIRST	rom_subject_roman_profession_5_Captain
FOURTH	rom_subject_roman_profession_5_Captain
SECOND	rom_subject_roman_profession_5_Captain
THIRD	rom_subject_roman_profession_5_Captain
FIRST	rom_subject_roman_religious_1_haruspay
FOURTH	rom_subject_roman_religious_1_haruspay
SECOND	rom_subject_roman_religious_1_haruspay
THIRD	rom_subject_roman_religious_1_haruspay
FIRST	rom_subject_roman_religious_2_chickens
FOURTH	rom_subject_roman_religious_2_chickens
SECOND	rom_subject_roman_religious_2_chickens
THIRD	rom_subject_roman_religious_2_chickens
FIRST	rom_subject_roman_religious_3_augres
FOURTH	rom_subject_roman_religious_3_augres
SECOND	rom_subject_roman_religious_3_augres
THIRD	rom_subject_roman_religious_3_augres
FIRST	rom_subject_roman_religious_4_vestal
FOURTH	rom_subject_roman_religious_4_vestal
SECOND	rom_subject_roman_religious_4_vestal
THIRD	rom_subject_roman_religious_4_vestal
FIRST	rom_subject_roman_trade_aventine_gang_1
FOURTH	rom_subject_roman_trade_aventine_gang_1
SECOND	rom_subject_roman_trade_aventine_gang_1
THIRD	rom_subject_roman_trade_aventine_gang_1
FIRST	rom_subject_roman_trade_aventine_gang_followup
FOURTH	rom_subject_roman_trade_aventine_gang_followup
SECOND	rom_subject_roman_trade_aventine_gang_followup
THIRD	rom_subject_roman_trade_aventine_gang_followup
FIRST	rom_subject_roman_wrecking
SECOND	rom_subject_roman_wrecking
THIRD	rom_subject_roman_wrecking
FIRST	rom_temple_sacrilege
FOURTH	rom_temple_sacrilege
SECOND	rom_temple_sacrilege
THIRD	rom_temple_sacrilege
FIRST	rom_useless_bureauracy
SECOND	rom_useless_bureauracy
FIRST	rom_young_challenger
FOURTH	rom_young_challenger
SECOND	rom_young_challenger
THIRD	rom_young_challenger
